query,expert(OwnerUserId)
sql server,1663001
sql server,270591
sql server,467473
sql server,1081897
sql server,41956
sql server,607314
sql server,2057380
sql server,2311360
sql server,2041092
sql server,50552
sql server,1197518
sql server,861716
sql server,1583
sql server,34397
sql server,280222
sql server,722783
sql server,214977
sql server,2558060
sql server,2424
sql server,1280410
sql server,109122
sql server,961113
sql server,117362
sql server,1002323
sql server,27535
sql server,568209
sql server,314291
sql server,3043
sql server,961526
sql server,240646
sql server,314488
sql server,60761
sql server,1453411
sql server,69083
sql server,142822
sql server,847363
sql server,183934
sql server,732945
sql server,413501
sql server,61305
sql server,569436
sql server,1036390
sql server,1216612
sql server,577765
sql server,135531
sql server,447156
sql server,29407
sql server,13302
sql server,144424
sql server,1144035
sql server,226897
sql server,284240
sql server,22656
sql server,80274
sql server,23199
sql server,6884
sql server,285465
sql server,301857
sql server,105264
sql server,23354
sql server,1195080
sql server,15498
sql server,105929
sql server,73226
sql server,16076
sql server,491243
sql server,573261
sql server,122718
sql server,1048425
sql server,1105771
sql server,1679310
sql server,335858
design patterns,22656
design patterns,31158
design patterns,264697
design patterns,29407
design patterns,70386
design patterns,23354
design patterns,1162077
design patterns,2155396
design patterns,470005
design patterns,156695
design patterns,126014
design patterns,941240
design patterns,572644
design patterns,60761
design patterns,1583
design patterns,65358
design patterns,335858
unit testing,253961
unit testing,8220
unit testing,2642204
unit testing,29407
unit testing,926713
unit testing,152602
unit testing,205859
unit testing,1160259
unit testing,779513
unit testing,263693
unit testing,1695
unit testing,857807
unit testing,485076
unit testing,329769
unit testing,30809
unit testing,22656
unit testing,264697
unit testing,301637
unit testing,182895
unit testing,1698557
unit testing,23354
unit testing,470005
unit testing,126014
unit testing,343266
unit testing,572644
unit testing,142637
unit testing,97614
unit testing,781754
unit testing,2658202
unit testing,872395
visual studio,98713
visual studio,17034
visual studio,1197518
visual studio,1583
visual studio,34397
visual studio,59303
visual studio,329769
visual studio,961113
visual studio,60761
visual studio,266143
visual studio,1159478
visual studio,29407
visual studio,103167
visual studio,128384
visual studio,284240
visual studio,22656
visual studio,366904
visual studio,23283
visual studio,97010
visual studio,23354
visual studio,138304
visual studio,572644
visual studio,187697
visual studio,40347
visual studio,65358
xamarin,183422
xamarin,3849465
xamarin,1338
xamarin,3148214
xamarin,220643
xamarin,263693
xamarin,373321
xamarin,368379
sockets,22656
sockets,106671
sockets,721269
sockets,76217
sockets,207421
sockets,17034
sockets,70386
sockets,23354
sockets,3538012
sockets,56778
sockets,5620
sockets,263693
sockets,292411
sockets,7925
sockets,122718
sockets,266143